block time,run time,fcv1_i,extraction_i,bias_i,inj_mbar,ext_mbar,inj_i,ext_i,mid_i,sext_i,x_ray_source
0.0,6209.798,95.38,2.2973,2.9092,1.17e-07,5.62e-09,127.02,99.14,99.99,270.0,3.2
1.2,6210.905,92.35,2.2823,2.8779,1.16e-07,5.68e-09,127.02,99.15,100.0,270.01,3.2
2.3,6212.016,95.49,2.4015,2.9405,1.16e-07,5.75e-09,127.02,99.15,100.0,270.0,3.2
3.4,6213.111,94.673,2.2804,2.9405,1.16e-07,5.65e-09,127.02,99.15,100.0,269.99,3.2
4.4,6214.186,93.099,2.3461,2.9717,1.16e-07,5.72e-09,127.02,99.15,100.01,269.99,3.2
5.5,6215.251,90.821,2.3602,2.9717,1.16e-07,5.74e-09,127.02,99.15,100.0,270.0,3.2
6.6,6216.336,92.924,2.3283,2.9405,1.16e-07,5.66e-09,127.02,99.15,100.0,270.01,3.2
7.7,6217.411,98.717,2.3236,2.8779,1.16e-07,5.64e-09,127.02,99.15,100.0,270.02,3.2
8.7,6218.487,95.536,2.2926,2.9405,1.16e-07,5.68e-09,127.02,99.15,100.0,270.0,3.2
9.8,6219.554,93.43,2.3114,2.9405,1.16e-07,5.62e-09,127.01,99.15,100.0,269.99,3.2
10.9,6220.64,93.037,2.3442,2.9405,1.17e-07,5.66e-09,127.01,99.15,100.0,269.99,3.2
12.0,6221.725,90.449,2.3123,2.8779,1.17e-07,5.73e-09,127.01,99.14,100.0,270.0,3.2
13.0,6222.799,85.793,2.2926,2.9092,1.17e-07,5.71e-09,127.01,99.15,100.0,270.0,3.2
14.2,6223.92,90.013,2.2926,2.9405,1.17e-07,5.64e-09,127.0,99.15,100.0,269.99,3.2
15.3,6225.04,92.084,2.3874,3.003,1.17e-07,5.75e-09,127.0,99.15,100.0,269.99,3.2
16.4,6226.13,91.488,2.3677,2.9405,1.17e-07,5.65e-09,127.0,99.15,100.0,270.0,3.2
17.5,6227.208,89.674,2.2982,2.8779,1.17e-07,5.61e-09,127.02,99.15,100.0,270.0,3.2
18.5,6228.278,88.484,2.2917,2.9405,1.17e-07,5.64e-09,127.0,99.15,100.0,270.0,3.2
19.6,6229.343,87.683,2.3339,2.8779,1.17e-07,5.72e-09,127.01,99.15,100.0,269.99,3.2
20.7,6230.435,91.182,2.333,2.9092,1.17e-07,5.73e-09,127.01,99.15,100.0,269.99,3.2
21.8,6231.512,93.527,2.4043,2.9405,1.17e-07,5.64e-09,127.01,99.15,100.0,270.0,3.2
22.8,6232.593,91.473,2.3414,2.8779,1.17e-07,5.74e-09,127.01,99.15,100.0,270.0,3.2
23.9,6233.654,91.245,2.3771,2.8779,1.17e-07,5.68e-09,127.02,99.15,100.0,270.0,3.2
25.0,6234.737,93.288,2.226,2.8779,1.17e-07,5.63e-09,127.02,99.15,100.0,270.0,3.2
26.1,6235.816,92.541,2.3705,2.9092,1.17e-07,5.68e-09,127.02,99.15,100.0,270.0,3.2
27.2,6236.924,95.275,2.3386,2.9092,1.17e-07,5.73e-09,127.02,99.15,100.0,269.99,3.2
28.3,6238.042,94.678,2.3799,2.9092,1.17e-07,5.66e-09,127.01,99.15,100.0,269.99,3.2
29.4,6239.142,91.465,2.2588,2.8779,1.17e-07,5.71e-09,127.02,99.15,100.0,270.01,3.2
30.5,6240.218,91.959,2.3311,2.9405,1.17e-07,5.73e-09,127.02,99.15,100.0,270.01,3.2
31.5,6241.289,95.233,2.3621,2.9717,1.17e-07,5.65e-09,127.02,99.15,100.0,270.01,3.2
32.6,6242.348,92.168,2.2617,2.9092,1.17e-07,5.63e-09,127.02,99.15,100.0,270.0,3.2
33.7,6243.43,86.711,2.3348,2.8779,1.17e-07,5.67e-09,127.01,99.15,99.99,269.99,3.2
34.8,6244.509,94.576,2.3677,2.9405,1.17e-07,5.73e-09,127.01,99.15,100.0,269.99,3.2
35.8,6245.6,88.703,2.272,2.9405,1.17e-07,5.64e-09,127.01,99.15,100.0,269.99,3.2
36.9,6246.682,91.757,2.347,2.9092,1.17e-07,5.73e-09,127.0,99.15,100.0,270.0,3.2
38.0,6247.741,90.103,2.3386,2.9717,1.17e-07,5.73e-09,127.01,99.15,100.01,270.0,3.2
39.1,6248.828,86.939,2.3217,3.003,1.17e-07,5.64e-09,127.01,99.15,100.0,270.0,3.2
40.2,6249.949,85.147,2.2485,2.9405,1.17e-07,5.62e-09,127.01,99.15,100.0,270.0,3.2
41.3,6251.09,90.666,2.3255,2.9092,1.17e-07,5.67e-09,127.0,99.15,100.0,269.99,3.2
42.4,6252.181,91.483,2.2729,2.8779,1.17e-07,5.65e-09,127.02,99.15,100.0,269.99,3.2
43.5,6253.249,88.211,2.2851,2.9092,1.17e-07,5.67e-09,127.03,99.15,100.0,270.0,3.2
44.6,6254.326,92.879,2.2926,2.9405,1.17e-07,5.73e-09,127.02,99.15,100.0,270.0,3.2
45.7,6255.411,92.581,2.4146,2.9717,1.17e-07,5.74e-09,127.01,99.15,100.0,270.0,3.2
46.7,6256.485,94.147,2.3442,2.9405,1.17e-07,5.68e-09,127.02,99.15,100.01,269.99,3.2
